ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.01555968918730049	7.864057289697487	0.01005814316201109	0.9214251430501816	0.9589533852983896	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.4853828000879589	5.246581433685213	7.321089463119002	0.016128829113104735	0.12446245902686734	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	-0.8580188893804905	10.58396966299102	1.4584663636836321	0.24578225823787897	0.45628215786740495	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.5778309119824924	1.6426768708198325	2.89858284546073	0.10902037909808701	0.2978307274149904	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.2559098119881184	5.715928955903472	0.8076041646998158	0.3829551908248202	0.5888911959704449	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	-1.0718853703469262	0.7593078878269764	2.0361167255768855	0.17397461727045008	0.3768677570204975	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.4212707388206423	7.257435343277869	1.4620078198667972	0.2452353029848926	0.4558424478768614	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.13583238700278885	4.3684664646307745	0.4726964865040465	0.5021095142829712	0.6851909863749684	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.23704192803627724	7.0603314721199855	2.7402543657604412	0.11835085185937734	0.31022827101161254	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	-0.5504264408651949	4.155340066005385	0.5217157321732142	0.48116720721836337	0.6703056412531454	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	1.6403469671076705	0.22260752353490018	2.339747164232259	0.14682251965319837	0.34574108571297213	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	2.4246344256837906	-1.0553564080719038	7.376041033396147	0.01580270783135223	0.12362815072962594	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	-0.2654674971762844	5.410808903052507	0.20175571223555694	0.6596980401881762	0.7993238921962907	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	0.42870841837083895	4.371135687781136	0.1587728994913192	0.695875959190027	0.8230715379746096	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-1.2329141151447616	3.796994097956844	2.8696738771787587	0.11081903198822594	0.3002055325028747	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	-0.3825438582005012	4.842043096416569	3.5138092201345934	0.08021501971988092	0.2553709435118859	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	0.3427810899647721	6.2822128139224205	3.60842565530025	0.07663774208605752	0.24999346769115224	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	0.5620779922583969	5.501777300078555	3.0234024565860023	0.10244709909303493	0.287896988576925	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142	-0.3943424887808674	6.3774655175390444	0.301198454892469	0.5911692997429037	0.7522690451518051	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148	0.4243980814326237	4.465446818805714	7.169556234972856	0.017068980513938344	0.1271669097421886	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	-0.13486836335541208	7.351243679093053	1.0351164808431392	0.3248866945317995	0.5362147229455608	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
ENSMUSG00000000154	2.1593735195680375	-1.3252086080059837	2.652792338360177	0.12403422399992618	0.3173997505531017	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]
ENSMUSG00000000167	0.09796660943485404	1.1296472278343181	0.08279650741324257	0.7774301991947348	0.8778807344414972	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
ENSMUSG00000000168	0.23074552344691843	5.907660906683847	2.1569624375358414	0.1623216866810558	0.36356214201947823	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]
ENSMUSG00000000171	0.32473185799183635	6.66800865076138	4.554737139621041	0.04951732136199476	0.20114579527090204	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
ENSMUSG00000000184	-0.033722399636855166	9.514580085116899	0.005290468078302606	0.9429728892614212	0.969053241069435	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
ENSMUSG00000000194	-0.4489521487503412	6.4537744454704	9.171672009426667	0.00836798030807999	0.09883739954257952	Gpr107	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]
ENSMUSG00000000197	-1.0422976641673214	4.107289209418473	4.049031812517919	0.062421389213064	0.2259176102593904	Nalcn	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]
ENSMUSG00000000202	-0.28787404728920457	4.956768024207651	0.4914136563709602	0.49397779835530464	0.6792180685764065	Btbd17	BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]
ENSMUSG00000000214	-0.688958487980388	0.5593659146885083	0.27129991035438306	0.6100280460773762	0.7646687619885105	Th	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
ENSMUSG00000000223	-1.2165075456014682	3.367253012324475	7.495840639805037	0.015195748555809739	0.12179158737060827	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]
ENSMUSG00000000244	0.9216987940865948	-1.031895099787134	0.571757283772373	0.4612116841194519	0.6544231286494007	Tspan32	tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]
ENSMUSG00000000247	-0.14128746802680073	3.8266079642304813	0.047262367890510144	0.8308126378700296	0.9086018927200331	Lhx2	LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]
ENSMUSG00000000253	-0.30901578147327224	2.962769041883702	0.5487082699678018	0.4701810387187827	0.6608070422820373	Gmpr	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]
ENSMUSG00000000263	0.4484183056205213	-1.0116060397001547	0.19319960707368874	0.6664968323501235	0.8032973411434249	Glra1	glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]
ENSMUSG00000000266	-0.9244924279294026	3.8804968296277944	15.141514919879633	0.0014154447978452411	0.05443422827599587	Mid2	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]
